trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.8, 'e': 0.95}",25,0,-121.50286503920998,"{0: 13, 1: 4, 2: 7, 3: 0, 4: 1}",0
2,False,"{'a': 0.8, 'e': 0.8999999999999999}",30,0,-231.27373085942347,"{0: 18, 1: 3, 2: 2, 3: 3, 4: 4}",1
3,False,"{'a': 0.8, 'e': 0.8499999999999999}",20,0,-84.49988306981186,"{0: 13, 1: 2, 2: 3, 3: 1, 4: 1}",0
4,False,"{'a': 0.8, 'e': 0.7999999999999998}",30,0,-235.75548376987143,"{0: 15, 1: 1, 2: 7, 3: 5, 4: 2}",0
5,False,"{'a': 0.8, 'e': 0.7499999999999998}",25,0,-108.08288190202198,"{0: 13, 1: 5, 2: 6, 3: 0, 4: 1}",0
6,False,"{'a': 0.8, 'e': 0.6999999999999997}",25,2,-46.62867527669396,"{0: 17, 1: 1, 2: 4, 3: 1, 4: 0}",1
7,False,"{'a': 0.8, 'e': 0.6499999999999997}",35,0,-241.03439008024947,"{0: 21, 1: 1, 2: 8, 3: 1, 4: 4}",0
8,False,"{'a': 0.8, 'e': 0.5999999999999996}",25,11,-87.2625595945414,"{0: 10, 1: 0, 2: 2, 3: 0, 4: 2}",1
9,False,"{'a': 0.8, 'e': 0.5499999999999996}",20,0,-67.44075806122856,"{0: 13, 1: 3, 2: 3, 3: 0, 4: 1}",0
10,False,"{'a': 0.8, 'e': 0.4999999999999996}",25,11,-48.62249330399673,"{0: 10, 1: 1, 2: 2, 3: 0, 4: 1}",1
11,False,"{'a': 0.8, 'e': 0.4499999999999996}",30,5,-111.9641958476775,"{0: 18, 1: 0, 2: 4, 3: 1, 4: 2}",1
12,False,"{'a': 0.8, 'e': 0.39999999999999963}",25,0,-72.89918532143624,"{0: 20, 1: 1, 2: 2, 3: 0, 4: 2}",0
13,False,"{'a': 0.8, 'e': 0.34999999999999964}",20,0,-74.68045030516903,"{0: 12, 1: 3, 2: 3, 3: 2, 4: 0}",0
