trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.9, 'e': 0.999000499833375}",30,0,-54.13451893124846,"{0: 22, 1: 5, 2: 2, 3: 0, 4: 1}",0
2,False,"{'a': 0.9, 'e': 0.9980019986673331}",20,0,-148.05407146511834,"{0: 10, 1: 4, 2: 2, 3: 2, 4: 2}",0
3,False,"{'a': 0.9, 'e': 0.997004495503373}",25,0,-100.44228669289174,"{0: 15, 1: 3, 2: 4, 3: 3, 4: 0}",0
4,False,"{'a': 0.9, 'e': 0.9960079893439915}",20,2,-112.65265981930656,"{0: 12, 1: 0, 2: 3, 3: 1, 4: 2}",1
5,False,"{'a': 0.9, 'e': 0.9950124791926823}",25,0,-93.49377009093948,"{0: 15, 1: 1, 2: 8, 3: 1, 4: 0}",0
6,False,"{'a': 0.9, 'e': 0.9940179640539353}",25,0,-84.02204340636969,"{0: 17, 1: 4, 2: 2, 3: 1, 4: 1}",0
7,False,"{'a': 0.9, 'e': 0.9930244429332351}",25,0,-215.73779593903214,"{0: 12, 1: 4, 2: 3, 3: 3, 4: 3}",0
8,False,"{'a': 0.9, 'e': 0.9920319148370607}",20,0,-117.88530687184829,"{0: 8, 1: 4, 2: 7, 3: 0, 4: 1}",0
9,False,"{'a': 0.9, 'e': 0.9910403787728836}",20,0,-43.444600358967875,"{0: 13, 1: 3, 2: 4, 3: 0, 4: 0}",0
10,False,"{'a': 0.9, 'e': 0.9900498337491681}",25,0,-106.89708291206348,"{0: 16, 1: 1, 2: 6, 3: 1, 4: 1}",0
11,False,"{'a': 0.9, 'e': 0.9890602787753687}",30,0,-263.11278889366406,"{0: 13, 1: 6, 2: 5, 3: 2, 4: 4}",0
12,False,"{'a': 0.9, 'e': 0.9880717128619305}",20,0,-120.40075091196002,"{0: 11, 1: 2, 2: 4, 3: 2, 4: 1}",0
13,False,"{'a': 0.9, 'e': 0.9870841350202876}",20,0,-83.57555827175838,"{0: 10, 1: 3, 2: 6, 3: 1, 4: 0}",0
14,False,"{'a': 0.9, 'e': 0.9860975442628619}",30,2,-222.59582290066012,"{0: 17, 1: 1, 2: 4, 3: 2, 4: 4}",1
