trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",20,0,-166.5171985053574,"{0: 10, 1: 2, 2: 5, 3: 0, 4: 3}",0
2,False,"{'a': 0.5, 'e': 1.0}",20,0,-84.34206030928567,"{0: 12, 1: 2, 2: 5, 3: 0, 4: 1}",0
3,False,"{'a': 0.5, 'e': 1.0}",25,5,-140.42452275892595,"{0: 11, 1: 1, 2: 5, 3: 1, 4: 2}",1
4,False,"{'a': 0.5, 'e': 1.0}",20,5,-90.16804433435827,"{0: 7, 1: 1, 2: 5, 3: 2, 4: 0}",1
5,False,"{'a': 0.5, 'e': 1.0}",20,0,-76.19554486992696,"{0: 13, 1: 2, 2: 4, 3: 0, 4: 1}",0
6,False,"{'a': 0.5, 'e': 1.0}",30,0,-114.67364036502053,"{0: 18, 1: 4, 2: 7, 3: 0, 4: 1}",0
7,False,"{'a': 0.5, 'e': 1.0}",20,0,-148.19911399402628,"{0: 9, 1: 4, 2: 4, 3: 1, 4: 2}",0
8,False,"{'a': 0.5, 'e': 1.0}",20,0,-30.950645532214992,"{0: 16, 1: 1, 2: 2, 3: 1, 4: 0}",0
9,False,"{'a': 0.5, 'e': 1.0}",25,6,-20.967990751765015,"{0: 16, 1: 1, 2: 0, 3: 2, 4: 0}",1
10,False,"{'a': 0.5, 'e': 1.0}",20,0,-196.12996460229698,"{0: 11, 1: 2, 2: 2, 3: 1, 4: 4}",0
11,False,"{'a': 0.5, 'e': 1.0}",20,0,-70.24056346615298,"{0: 13, 1: 4, 2: 0, 3: 3, 4: 0}",0
12,False,"{'a': 0.5, 'e': 1.0}",30,0,-138.1182815273575,"{0: 19, 1: 4, 2: 4, 3: 1, 4: 2}",0
13,False,"{'a': 0.5, 'e': 1.0}",20,0,-97.60619279964784,"{0: 12, 1: 1, 2: 4, 3: 3, 4: 0}",0
14,False,"{'a': 0.5, 'e': 1.0}",25,0,-99.44447731586538,"{0: 14, 1: 3, 2: 6, 3: 2, 4: 0}",0
15,False,"{'a': 0.5, 'e': 1.0}",20,0,-43.27855267168633,"{0: 15, 1: 3, 2: 1, 3: 0, 4: 1}",0
16,False,"{'a': 0.5, 'e': 1.0}",25,0,-175.61173956106487,"{0: 15, 1: 0, 2: 7, 3: 0, 4: 3}",0
17,False,"{'a': 0.5, 'e': 1.0}",20,0,-113.12473959154876,"{0: 9, 1: 2, 2: 7, 3: 2, 4: 0}",0
18,False,"{'a': 0.5, 'e': 1.0}",30,0,-138.81031456220754,"{0: 17, 1: 3, 2: 8, 3: 1, 4: 1}",0
19,False,"{'a': 0.5, 'e': 1.0}",20,0,-117.84309374420364,"{0: 14, 1: 1, 2: 1, 3: 2, 4: 2}",0
20,False,"{'a': 0.5, 'e': 1.0}",20,0,-97.30015235816684,"{0: 13, 1: 0, 2: 5, 3: 1, 4: 1}",0
1,True,"{'a': 0.5, 'e': 1.0}",20,0,-117.84262536247437,"{0: 11, 1: 3, 2: 4, 3: 0, 4: 2}",0
2,True,"{'a': 0.5, 'e': 1.0}",30,0,-178.53109450442713,"{0: 15, 1: 5, 2: 7, 3: 1, 4: 2}",0
3,True,"{'a': 0.5, 'e': 1.0}",25,0,-109.81876439363604,"{0: 12, 1: 4, 2: 8, 3: 1, 4: 0}",0
4,True,"{'a': 0.5, 'e': 1.0}",30,0,-41.49169660877791,"{0: 21, 1: 6, 2: 3, 3: 0, 4: 0}",0
5,True,"{'a': 0.5, 'e': 1.0}",30,0,-131.05022097495345,"{0: 19, 1: 3, 2: 4, 3: 3, 4: 1}",0
6,True,"{'a': 0.5, 'e': 1.0}",20,0,-121.70746018538507,"{0: 11, 1: 2, 2: 4, 3: 2, 4: 1}",0
7,True,"{'a': 0.5, 'e': 1.0}",20,0,-73.61508282246598,"{0: 12, 1: 4, 2: 3, 3: 0, 4: 1}",0
8,True,"{'a': 0.5, 'e': 1.0}",20,0,-65.1338291144067,"{0: 11, 1: 4, 2: 4, 3: 1, 4: 0}",0
9,True,"{'a': 0.5, 'e': 1.0}",25,0,-154.2312582979379,"{0: 13, 1: 4, 2: 3, 3: 4, 4: 1}",0
10,True,"{'a': 0.5, 'e': 1.0}",35,0,-201.58564238902568,"{0: 23, 1: 1, 2: 6, 3: 2, 4: 3}",0
